"serie" , "linear.f0" , "linear.f0.se" , "linear.f0.p" , "linear.C0" , "linear.AIC" , "linear.AICc" , "linear.RSE" , "linear.r" , "linear.diagnostics" , "robust.linear.f0" , "robust.linear.f0.se" , "robust.linear.f0.p" , "robust.linear.C0" , "robust.linear.weights" , "robust.linear.diagnostics" , "HMR.f0" , "HMR.f0.se" , "HMR.f0.p" , "HMR.kappa" , "HMR.phi" , "HMR.AIC" , "HMR.AICc" , "HMR.RSE" , "HMR.diagnostics" , "kappa.max" , "flux" , "flux.se" , "flux.p" , "method"
"ID111" , -0.0536577278372642 , 0.0256557268178425 , 0.0748094426316374 , 0.383890434041707 , -61.9761385191418 , -57.1761385191418 , 0.0062840948864282 , -0.620137578977121 , "" , -0.0536577278372642 , 0.0256557268178425 , 0.0748094426316374 , 0.383890434041707 , "1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "elemento (3, 3) es cero, por lo tanto la inversa no puede ser calculada" , -1.39107969692409 , -0.0536577278372642 , 0.0256557268178425 , 0.0748094426316374 , "robust linear"
"ID112" , -0.0744570484103106 , 0.0541450682273464 , 0.211483476807237 , 0.298382167591168 , -48.2824743763089 , -43.4824743763089 , 0.0134473349174405 , -0.461180952436505 , "" , -0.100703871135469 , 0.0587671967368382 , 0.146560406202283 , 0.300168110589835 , "1|0.8|1|1|1|0.71|1|1|0.41" , "" , -0.243080789375681 , 0.429008775790175 , 0.591527261912391 , 31.040911623458 , 0.279168280943601 , -47.3552692732143 , -37.3552692732143 , 0.0136844008829678 , "" , -1.93030328549518 , -0.100703871135469 , 0.0587671967368382 , 0.146560406202283 , "robust linear"
"ID113" , 0.245398026619371 , 0.0274517347772907 , 0.000109366538592995 , 0.313819227190966 , -56.29464292842 , -50.29464292842 , 0.00569302988268187 , 0.964447863039591 , "" , 0.241165150927103 , 0.0268413914836192 , 9.8917524495996e-05 , 0.314764900859088 , "1|1|0.64|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , 6.36195803017906 , 0.241165150927103 , 0.0268413914836192 , 9.8917524495996e-05 , "robust linear"
"ID121" , -0.0518405900851222 , 0.0107167633909625 , 0.000324411636024961 , 0.336218406763521 , -122.170625950732 , -119.988807768914 , 0.00362557526402419 , -0.801782647921076 , "" , -0.0541230428622923 , 0.0139750765257632 , 0.00188705864952441 , 0.336578525653266 , "0.55|1|1|1|1|0.51|0.64|0.76|1|1|0.98|1|1|1|0.93" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "singular gradient" , -1.34397029562433 , -0.0541230428622923 , 0.0139750765257632 , 0.00188705864952441 , "robust linear"
"ID122" , -0.227747713611595 , 0.0417454151377674 , 0.000110157279643368 , 0.316008924130216 , -81.0562585099975 , -78.8744403281793 , 0.0142747448850347 , -0.834269495007414 , "" , -0.227747713611595 , 0.0417454151377674 , 0.000110157279643368 , 0.316008924130216 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , -1.18874795988215 , 0.232927174725652 , 0.000260278602353785 , 46.5408615410915 , 0.262748342782774 , -104.320635620099 , -100.320635620099 , 0.00640044381527449 , "" , -5.90437264482808 , -0.227747713611595 , 0.0417454151377674 , 0.000110157279643368 , "robust linear"
"ID123" , -0.0867468667910829 , 0.0430309190125207 , 0.0688972043420455 , 0.327177132521011 , -72.7397952375933 , -70.0731285709266 , 0.0127290925431754 , -0.519402473632641 , "" , -0.0919326858646633 , 0.01768008870087 , 0.000257317099683244 , 0.325007352068019 , "1|1|1|1|1|1|0.15|1|1|1|1|1|0.69" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -2.24891753767199 , -0.0919326858646633 , 0.01768008870087 , 0.000257317099683244 , "robust linear"
"ID131" , -0.0483180781647145 , 0.0154088153695007 , 0.0164769121818178 , 0.316857448222275 , -70.9200912963579 , -66.1200912963579 , 0.003823382700882 , -0.76429526454326 , "" , -0.058906611405495 , 0.0122192099543488 , 0.00170411487436129 , 0.317778720397591 , "1|1|1|0.75|0.56|1|1|0.26|1" , "" , -0.124102394305124 , 0.110633917501452 , 0.304849053394239 , 26.8167554597304 , 0.30437776028394 , -70.152784834585 , -60.152784834585 , 0.00385637614563398 , "" , -1.2526489703995 , -0.058906611405495 , 0.0122192099543488 , 0.00170411487436129 , "robust linear"
"ID132" , -0.0301986895266728 , 0.0342132634271951 , 0.40670849396388 , 0.307067910906975 , -56.5207011326822 , -51.7207011326822 , 0.00850880640459611 , -0.31646757542489 , "" , -0.0413538606820247 , 0.0342866550414662 , 0.280290263059006 , 0.307904731142739 , "1|1|1|1|1|1|1|1|0.66" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -0.782902772209718 , -0.0413538606820247 , 0.0342866550414662 , 0.280290263059006 , "robust linear"
"ID133" , -0.373072894127639 , 0.0244016884890893 , 3.95341749299648e-10 , 0.283848390057951 , -103.349373396409 , -101.349373396409 , 0.00848597264688113 , -0.971334614675757 , "" , -0.378753080686828 , 0.0242103462781232 , 2.32752935720926e-10 , 0.284235932942965 , "1|1|1|1|1|1|1|0.83|0.85|1|1|0.49|1|1|1|1" , "" , -0.463866013705049 , 0.10885603539044 , 0.000927557312776488 , 5.00571288014002 , -0.00671285590008916 , -102.371512282022 , -98.7351486456587 , 0.0085294652527212 , "" , -9.67193635309418 , -0.378753080686828 , 0.0242103462781232 , 2.32752935720926e-10 , "robust linear"
"ID141" , -0.030462934159316 , 0.0176210177670697 , 0.107506715415792 , 0.332734739440427 , -107.135556291091 , -104.953738109273 , 0.00598455484558148 , -0.432348786310746 , "" , -0.030462934159316 , 0.0176210177670697 , 0.107506715415792 , 0.332734739440427 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -0.789753329590866 , -0.030462934159316 , 0.0176210177670697 , 0.107506715415792 , "robust linear"
"ID142" , -0.252796465451264 , 0.0341451967917435 , 5.16766972132477e-06 , 0.313452609079821 , -87.0806549591337 , -84.8988367773155 , 0.0116776723093919 , -0.89905286421221 , "" , -0.253467382399565 , 0.0353626790307771 , 6.85120367319595e-06 , 0.313808420877723 , "1|1|1|1|1|1|0.82|1|1|1|1|1|1|1|1" , "" , -0.642305460591276 , 0.199803230242761 , 0.00742729275533437 , 23.2366780645905 , 0.239600368597919 , -93.2229308248403 , -89.2229308248403 , 0.00926543516443937 , "" , -6.55376298470852 , -0.253467382399565 , 0.0353626790307771 , 6.85120367319595e-06 , "robust linear"
"ID143" , -0.00164573527821766 , 0.0247628027021169 , 0.948106062301947 , 0.314943142828481 , -92.7292270110951 , -90.3292270110951 , 0.00768944234410237 , -0.0191818127037814 , "" , -0.00164573527821766 , 0.0247628027021169 , 0.948106062301947 , 0.314943142828481 , "1|1|1|1|1|1|1|1|1|1|1|1|1|1" , "" , -0.747781167634484 , 0.98265598054482 , 0.462670771693915 , 163.040878342061 , 0.313118334784628 , -95.5342395050151 , -91.0897950605706 , 0.00676489244865089 , "" , -0.0426657822519723 , -0.00164573527821766 , 0.0247628027021169 , 0.948106062301947 , "robust linear"
"ID161" , -0.0969634493891041 , 0.0159917447819415 , 8.15221131046224e-05 , 0.314158104108456 , -98.282245370432 , -95.6155787037654 , 0.00476590858071365 , -0.877326453443556 , "" , -0.0980618918827851 , 0.0147357199685044 , 3.02165291783654e-05 , 0.314429045104289 , "1|1|0.66|0.47|1|0.76|1|1|1|1|1|1|1" , "" , NA , NA , NA , NA , NA , NA , NA , NA , "Missing value or an infinity produced when evaluating the model" , -2.51378303229671 , -0.0980618918827851 , 0.0147357199685044 , 3.02165291783654e-05 , "robust linear"
"ID162" , -0.0914769014482084 , 0.0159804438350295 , 9.54091452604211e-05 , 0.311553885023388 , -104.07660999061 , -101.67660999061 , 0.00512732759102927 , -0.855540333594603 , "" , -0.0939976530905412 , 0.0164336391604421 , 0.0001058747325939 , 0.311767700830904 , "1|1|1|1|1|1|1|1|1|1|1|1|1|0.82" , "" , -0.339904949065524 , 0.0927540094959985 , 0.00372465963977714 , 35.5202380841105 , 0.289013445859404 , -117.206387954501 , -112.761943510057 , 0.00311971315946202 , "" , -2.3715439596709 , -0.0939976530905412 , 0.0164336391604421 , 0.0001058747325939 , "robust linear"
